,Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,Year
0,ADIA BARNES,SAC,22,0.9,1.9,45.3,0.6,1.6,34.8,1.1,2.5,42.9,0.2,0.4,50.0,0.3,0.8,33.3,0.6,2.2,26.8,1998
1,ADRIENNE JOHNSON,CLE,25,0.3,0.7,47.4,0.3,0.6,44.4,0.8,1.6,47.8,0.3,0.7,50.0,0.5,1.0,50.0,0.6,1.4,40.7,1998
2,ADRIENNE SHULER,WAS,30,0.3,0.7,41.2,0.1,0.3,25.0,0.4,0.9,42.9,0.1,0.1,100,0.3,0.5,50.0,0.6,1.6,34.4,1998
3,ALBENA BRANZOVA,NYL,27,0.4,0.7,50.0,0.1,0.4,25.0,0.2,0.9,22.2,0.0,0.0,0.0,-,-,-,0.5,1.0,50.0,1998
4,ALESSANDRA SANTOS DE OLIVE,WAS,25,3.7,6.8,54.1,0.1,0.3,50.0,0.1,0.6,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998
5,ALICIA THOMPSON,NYL,22,0.3,0.7,38.5,0.1,0.8,14.3,0.1,0.6,9.1,-,-,-,-,-,-,0.5,0.5,100,1998
6,ALLISON FEASTER,LAS,23,0.3,1.0,33.3,0.0,0.0,0.0,0.0,0.3,0.0,-,-,-,0.0,1.0,0.0,0.7,3.0,22.2,1998
7,AMAYA VALDEMORO,HOU,22,0.3,0.3,100.0,0.1,0.4,25.0,0.0,0.1,0.0,1.0,2.0,50.0,-,-,-,0.2,0.6,33.3,1998
8,ANDREA CONGREAVES,CHA,29,0.5,0.7,76.5,0.2,0.3,71.4,0.1,0.3,33.3,0.1,0.5,16.7,0.4,1.0,40.0,0.5,1.8,30.0,1998
9,ANDREA KUKLOVA,PHO,27,0.8,1.7,46.9,0.3,0.7,47.4,0.2,0.7,25.0,0.0,0.5,0.0,0.0,0.5,0.0,0.1,0.6,20.0,1998
10,ANDREA STINSON,CHA,31,2.2,3.6,61.5,1.2,2.9,39.8,1.4,3.8,36.8,0.3,0.9,28.6,0.4,1.0,42.9,0.7,2.7,26.8,1998
11,ANETA KAUSAITE,DET,28,0.2,0.9,22.2,0.1,0.5,25.0,0.2,0.5,40.0,0.0,0.0,0.0,-,-,-,0.0,1.0,0.0,1998
12,ANGELA HAMBLIN,DET,22,0.0,0.2,0.0,0.3,0.3,100.0,0.0,0.7,0.0,-,-,-,-,-,-,0.3,0.7,50.0,1998
13,ANGELA JACKSON,WAS,23,0.3,0.5,66.7,0.2,0.4,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998
14,BRANDY REED,PHO,22,1.2,1.7,70.0,0.5,1.0,50.0,0.4,1.1,36.0,0.0,0.3,0.0,-,-,-,0.3,0.8,33.3,1998
15,BRIDGET PETTIS,PHO,28,1.7,3.4,51.5,0.2,0.8,20.0,0.7,1.7,41.2,0.6,1.0,57.1,0.4,1.0,40.0,0.9,3.6,24.3,1998
16,BRIDGETTE GORDON,SAC,32,0.7,1.0,66.7,0.2,0.9,27.8,0.3,0.8,37.5,0.0,0.5,0.0,-,-,-,0.0,0.9,0.0,1998
17,CARLA BOYD,DET,23,1.2,2.7,46.3,0.4,1.5,26.7,0.7,2.4,29.2,0.2,0.6,36.4,0.1,1.0,14.3,0.6,1.8,31.1,1998
18,CHANTEL TREMITIERE,UTA,29,0.6,1.5,41.5,0.1,0.7,10.5,0.4,0.8,47.8,0.0,0.3,0.0,0.4,0.6,66.7,0.7,2.0,36.4,1998
19,CHRISTY SMITH,CHA,23,0.1,0.2,60.0,0.2,0.3,50.0,0.1,0.2,40.0,0.8,1.2,71.4,0.0,1.0,0.0,0.7,2.7,26.5,1998
20,CINDY BLODGETT,CLE,23,0.1,0.2,50.0,0.0,0.4,12.5,0.3,0.8,35.3,0.2,0.4,50.0,0.5,1.0,50.0,0.5,2.1,24.2,1998
21,CINDY BROWN,DET,34,2.4,3.9,61.9,0.6,1.6,38.8,0.5,1.3,35.0,0.0,0.0,0.0,0.5,0.5,100,0.7,2.1,31.7,1998
22,COQUESE WASHINGTON,NYL,28,0.2,0.4,45.5,0.1,0.4,30.0,0.1,0.3,22.2,0.0,1.0,0.0,0.0,1.0,0.0,0.4,1.2,29.4,1998
23,CYNTHIA COOPER,HOU,36,3.4,5.9,57.3,0.8,2.6,30.8,0.4,1.3,33.3,0.3,0.7,37.5,0.4,0.8,50.0,2.0,5.0,39.7,1998
24,DEBORAH CARTER,WAS,27,0.4,0.8,43.5,0.2,0.8,28.6,0.4,1.7,21.3,0.0,0.4,0.0,0.0,0.8,0.0,0.6,2.2,28.6,1998
25,DENA HEAD,UTA,28,0.6,1.4,42.9,0.0,0.1,33.3,0.1,0.4,30.8,0.3,0.8,33.3,0.2,0.8,25.0,0.7,1.3,55.0,1998
26,ELENA BARANOVA,UTA,27,2.2,4.0,55.7,1.1,2.6,41.2,0.6,2.1,29.3,0.3,0.3,100,0.5,1.0,50.0,0.6,2.4,25.0,1998
27,ELISABETH CEBRIAN,NYL,28,0.4,1.1,36.0,0.3,0.5,55.6,0.0,0.0,100.0,0.0,0.0,0.0,-,-,-,-,-,-,1998
28,ERIN ALEXANDER,UTA,24,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.3,20.0,0.3,1.0,25.0,0.2,0.8,25.0,0.6,1.9,33.3,1998
29,EUGENIA RYCRAW,LAS,30,0.5,0.8,56.3,0.2,0.7,30.8,0.1,0.2,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998
30,EVA NEMCOVA,CLE,26,1.6,2.7,59.3,0.4,1.3,33.3,1.4,3.3,42.4,0.5,1.0,46.2,0.3,1.0,33.3,0.8,1.7,46.7,1998
