Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%
ADIA BARNES,CLE,25,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-
ADRIAN WILLIAMS-STRONG,PHO,25,0.6,1.7,38.1,0.6,1.8,33.3,0.3,1.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRIANA MOISES PINTO,PHO,23,1.1,2.4,47.1,0.3,0.6,50.0,0.0,0.4,0.0,0.0,0.0,0.0,-,-,-,0.7,2.0,33.3
ADRIENNE GOODSON,UTA,35,2.4,4.1,58.3,0.9,2.7,32.9,1.5,3.5,42.3,0.0,0.6,0.0,0.0,0.0,0.0,0.2,1.2,19.2
ALESSANDRA SANTOS DE OLIVE,SEA,28,0.4,1.1,36.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0
ALICIA THOMPSON,IND,25,0.9,1.5,62.5,0.8,1.6,47.2,1.0,2.9,34.9,0.3,0.4,80.0,0.0,0.0,0.0,0.7,2.1,34.2
ALISA BURRAS,POR,27,1.5,2.5,59.1,0.2,0.5,30.8,0.0,0.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLISON FEASTER,CHA,26,0.8,1.4,55.6,0.4,1.1,37.1,1.0,2.8,37.5,0.6,1.5,40.0,0.4,1.1,33.3,1.0,3.4,30.0
AMANDA LASSITER,HOU,23,0.3,0.5,68.8,0.2,0.8,29.2,0.2,1.0,21.9,0.2,0.4,50.0,0.5,1.3,40.0,0.8,2.2,37.5
AMY HERRIG,UTA,25,0.7,1.1,58.3,0.3,0.8,42.3,0.3,1.0,35.5,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0
ANDREA NAGY,NYL,30,0.2,0.4,55.6,0.1,0.3,33.3,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.5,1.0,54.5
ANDREA STINSON,CHA,34,2.5,3.7,68.1,0.8,2.4,34.2,1.3,3.4,39.1,0.3,0.6,60.0,0.4,0.8,44.4,0.8,1.8,41.3
ANGELINA WOLVERT,CLE,23,1.0,1.0,100,0.0,0.0,0.0,0.0,2.0,0.0,-,-,-,-,-,-,-,-,-
ANGIE BRAZIEL,IND,25,1.1,1.4,81.3,0.8,2.0,40.0,0.3,1.7,16.2,0.0,0.0,0.0,-,-,-,0.0,0.1,0.0
ANN WAUTERS,CLE,21,2.8,4.4,62.3,0.8,1.3,59.4,0.1,0.5,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
ANNIE BURGESS,WAS,33,0.3,0.6,40.0,0.4,1.1,36.4,0.4,1.3,31.7,0.1,0.3,20.0,0.1,0.2,50.0,0.5,1.5,30.0
ASTOU NDIAYE-DIATTA,DET,28,2.3,3.3,67.9,1.0,2.4,40.3,1.5,4.5,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,33.3
AUDREY SAURET,WAS,25,0.6,1.1,51.9,0.3,1.3,24.2,0.3,1.0,32.0,0.0,0.1,0.0,0.0,0.2,0.0,0.2,1.2,12.5
BARBARA FARRIS,DET,25,1.3,2.2,58.8,0.1,0.6,21.1,0.1,0.4,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BECKY HAMMON,NYL,25,0.8,1.2,69.2,0.2,0.5,35.3,0.5,0.9,50.0,0.3,0.8,41.2,0.5,0.9,57.1,1.0,2.9,35.6
BETTY LENNOX,MIN,25,1.0,1.6,61.1,0.3,2.0,13.6,0.6,1.6,38.9,0.3,0.9,33.3,0.0,1.0,0.0,1.6,4.1,40.0
BRANDY REED,PHO,25,0.0,1.0,0.0,1.0,3.0,33.3,0.0,4.0,0.0,-,-,-,-,-,-,-,-,-
BRIDGET PETTIS,PHO,31,0.9,2.0,43.1,0.0,0.5,0.0,0.2,0.5,33.3,0.4,0.5,80.0,0.4,0.6,75.0,0.5,2.2,24.1
BROOKE WYCKOFF,ORL,22,0.5,0.8,61.5,0.3,0.7,34.8,0.3,1.2,28.2,0.0,0.5,0.0,0.0,0.3,0.0,0.2,1.2,20.7
CAMILLE COOPER,NYL,23,1.3,1.3,100,1.0,2.0,50.0,0.0,0.3,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0
CARA CONSUEGRA,UTA,23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-,-,-,0.0,1.0,0.0
CARLA BOYD,DET,26,0.2,0.5,45.5,0.1,0.3,16.7,0.3,0.7,42.9,0.1,0.5,25.0,0.1,0.4,33.3,0.5,1.7,31.0
CARLA MCGHEE,ORL,34,0.1,0.1,50.0,0.1,0.6,22.2,0.2,0.8,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAROLYN YOUNG,POR,32,0.3,0.7,41.2,0.5,1.3,39.3,0.4,0.9,45.0,0.4,0.6,66.7,0.0,0.5,0.0,0.5,2.0,26.7
CASS BAUER-BILODEAU,WAS,30,0.2,0.3,60.0,0.1,0.4,16.7,0.1,0.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
CHAMIQUE HOLDSCLAW,WAS,24,2.5,3.9,64.3,1.7,4.4,38.0,1.9,6.2,30.6,0.1,0.4,33.3,0.1,0.1,100,0.4,1.8,20.5
CHARLOTTE SMITH,CHA,28,1.2,1.9,61.4,0.2,0.8,29.2,0.2,1.1,15.2,0.0,0.0,0.0,0.0,0.3,0.0,0.4,1.3,33.3
CHARMIN SMITH,SEA,27,0.1,0.1,66.7,0.1,0.4,18.2,0.1,0.3,18.2,0.2,0.4,42.9,0.0,0.3,0.0,0.4,1.4,26.7
CHASITY MELVIN,CLE,26,2.5,4.8,52.3,0.8,2.2,36.7,0.4,0.9,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,100
CINDY BLODGETT,SAC,26,0.1,0.5,20.0,0.2,0.3,66.7,0.2,0.6,33.3,0.0,0.0,0.0,-,-,-,1.0,1.8,57.1
CINTIA DOS SANTOS,ORL,27,0.1,0.6,16.7,0.5,1.3,40.0,0.2,0.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLARISSE MACHANGUANA,CHA,25,1.6,2.2,70.1,0.3,1.1,31.3,0.2,0.9,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLAUDIA NEVES,DET,27,0.5,1.1,41.7,0.2,0.5,33.3,0.1,0.4,22.2,0.0,0.2,0.0,0.2,0.3,50.0,0.9,2.4,37.5
COCO MILLER,WAS,23,0.1,0.1,100,0.2,0.7,23.1,0.3,1.0,31.6,0.0,0.0,0.0,-,-,-,0.2,0.7,33.3
COQUESE WASHINGTON,HOU,31,0.5,0.9,60.7,0.2,0.9,25.0,0.3,1.3,25.0,0.2,0.3,57.1,0.3,0.6,40.0,0.8,2.3,33.8
CRYSTAL ROBINSON,NYL,28,0.8,1.0,78.8,0.2,0.5,37.5,0.7,1.6,42.0,0.3,0.9,38.9,0.5,1.2,45.5,1.7,4.1,41.4
DANA WYNNE,SAC,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,0.0,0.0
DANIELLE MCCULLEY,IND,27,0.4,1.0,37.5,0.1,0.9,14.3,0.0,0.1,0.0,0.0,0.0,0.0,-,-,-,0.3,0.5,50.0
DAWN STALEY,CHA,32,0.8,1.8,45.8,0.6,1.9,29.0,0.9,2.2,40.8,0.0,0.2,0.0,0.3,0.7,42.9,0.9,2.5,38.0
DELISHA MILTON-JONES,LAS,27,1.6,2.7,58.6,0.9,2.0,43.1,1.3,3.4,39.4,0.1,0.4,12.5,0.0,0.0,0.0,0.5,1.2,40.7
DEMYA WALKER,POR,24,1.6,3.1,50.0,0.4,1.0,36.4,0.0,0.4,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,66.7
DEANNA NOLAN,DET,22,0.6,1.4,38.5,0.3,1.0,30.8,0.7,2.1,35.7,0.1,0.9,15.4,0.3,0.6,50.0,0.7,2.2,30.4
DEBBIE BLACK,MIA,35,0.2,0.5,37.5,0.3,0.9,37.9,1.6,3.8,41.0,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.9,17.6
DOMINIQUE CANTY,DET,25,1.6,2.9,54.3,0.4,1.7,25.5,0.2,1.3,12.2,0.1,0.1,100,0.0,0.0,0.0,0.0,0.2,0.0
E.C. HILL,PHO,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,1.0,0.0
EDNA CAMPBELL,SAC,33,0.4,0.6,60.0,0.4,1.4,26.1,0.8,2.6,29.8,0.2,0.4,40.0,0.3,0.8,33.3,1.3,2.8,47.1
EDWINA BROWN,DET,23,0.7,1.4,47.8,0.7,1.8,35.6,0.7,2.3,29.7,0.2,0.5,33.3,0.1,0.2,50.0,0.5,1.4,39.0
ELAINE POWELL,ORL,26,1.9,3.2,58.8,0.3,1.4,23.9,0.3,1.4,19.6,0.1,0.3,16.7,0.3,0.5,62.5,1.0,2.8,37.5
ELENA BARANOVA,MIA,30,1.3,2.1,62.1,1.3,3.1,40.4,0.9,2.7,35.3,0.0,0.1,0.0,0.4,0.8,50.0,1.0,2.6,37.5
ELENA SHAKIROVA,HOU,32,0.2,0.5,30.8,0.3,0.5,58.3,0.0,0.2,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
ELENA TORNIKIDOU,DET,37,1.0,1.6,64.0,0.4,1.2,35.1,1.4,3.5,38.9,0.4,0.6,66.7,0.3,0.5,57.1,0.5,1.3,36.4
ERIN PERPEROGLOU,MIN,23,1.4,2.7,51.7,0.1,1.4,4.7,0.3,0.8,36.0,0.0,0.3,0.0,0.2,0.4,50.0,0.3,0.8,30.4
EVA NEMCOVA,CLE,29,0.0,0.1,0.0,0.1,0.3,50.0,1.1,2.5,45.0,0.0,0.5,0.0,0.5,1.5,33.3,0.3,1.8,18.2
GEORGIA SCHWEITZER,MIN,23,0.3,0.7,43.8,0.2,0.7,29.4,0.6,1.2,48.1,0.0,0.8,0.0,0.0,0.4,0.0,0.4,1.6,23.3
GORDANA GRUBIN,IND,29,0.7,1.1,64.5,0.6,1.4,40.5,0.4,1.5,24.4,0.2,0.6,28.6,0.5,1.3,40.0,0.6,2.1,28.3
GRACE DALEY,NYL,24,0.7,0.9,71.4,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HAJDANA RADUNOVIC,NYL,24,0.3,0.3,100,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,-,-,-,-,-,-
HELEN DARLING,CLE,23,0.6,1.2,52.6,0.3,0.9,27.6,0.3,0.9,27.6,0.3,0.8,33.3,0.1,0.7,20.0,0.8,2.2,33.9
HELEN LUZ,WAS,29,0.3,0.6,61.1,0.2,0.7,27.3,0.2,0.4,42.9,0.1,0.4,25.0,0.0,0.1,0.0,1.1,2.7,40.3
ILONA KORSTINE,PHO,22,0.4,1.1,38.5,0.0,0.5,0.0,0.1,0.3,25.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.5,0.0
JACKIE STILES,POR,23,0.9,2.0,44.6,1.3,3.3,41.0,1.1,3.1,34.3,0.3,0.5,60.0,0.4,1.1,33.3,1.3,2.9,42.9
JACLYN JOHNSON,ORL,23,0.5,0.7,66.7,0.0,0.1,0.0,0.2,0.3,60.0,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.9,50.0
JAE KINGI-CROSS,DET,26,0.3,0.6,62.5,0.1,0.4,36.4,0.3,0.9,29.6,0.3,0.5,50.0,0.1,0.4,33.3,1.1,2.9,36.7
JAMIE REDD,SEA,24,1.3,2.3,56.8,0.4,1.3,27.9,0.2,0.7,27.3,0.3,0.7,42.9,0.3,0.9,28.6,0.6,2.2,25.0
